Year,Day           Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1902,  8        74.106   74.176     -        -      74.499   74.454   74.637   74.658   74.557   74.463   74.314   74.295
1902,  9        74.131   74.222   74.259   74.109     -      74.539   74.588   74.649   74.618   74.429   74.347   74.271
1902, 10        74.152     -      74.243   74.356     -      74.518   74.579   74.624   74.588   74.438   74.317   74.469
1902, 11        74.137   74.210   74.246   74.432     -      74.435   74.606   74.701   74.588   74.472   74.545   74.189
1902, 12        74.128   74.173   74.277   74.490     -      74.481   74.631   74.637   74.518   74.396   74.378   74.198
1902, 13        74.134   74.167   74.298   74.502   74.429     -      74.646   74.643   74.634   74.390     -      73.997
1902, 14        74.137   74.170   74.298   74.466   74.475     -      74.621   74.652   74.554   74.524     -        -
1902, 15        74.149   74.146   74.292   74.502   74.460   74.475   74.637   74.600   74.539   74.499     -        -
1902, 16        74.131   74.125   74.356   74.469   74.499   74.502   74.606   74.615   74.512   74.566   74.298     -
1902, 17        74.128   74.128   74.451   74.457   74.454   74.548   74.649   74.603   74.496   74.414   74.222     -
1902, 18        74.143   74.185   74.396   74.445   74.429   74.481   74.603   74.600   74.499   74.365   74.298     -
1902, 19        74.137   74.161   74.365   74.445   74.420   74.509   74.551   74.588   74.469   74.408     -        -
1902, 20        74.094   74.152   74.384   74.469   74.396   74.493   74.557   74.591   74.438   74.448     -        -
1902, 21        74.064   74.115   74.396   74.387   74.438   74.499   74.588   74.612   74.478   74.457     -        -
1902, 22          -      74.103   74.393   74.445   74.454   74.576   74.594   74.624   74.496   74.426     -        -
1902, 23          -      74.109   74.396   74.570   74.472   74.536   74.624   74.585   74.487   74.283   74.347     -
1902, 24        74.131   74.103   74.365   74.496   74.469   74.521   74.637   74.588   74.356   74.472   74.451     -
1902, 25        74.121   74.091   74.371   74.435   74.451   74.475   74.618   74.609   74.356   74.350   74.262     -
1902, 26        74.161   74.094   74.365   74.481   74.509   74.499   74.634   74.637   74.429   74.301   74.076     -
1902, 27        74.216   74.082   74.384   74.618   74.512     -      74.661   74.548   74.432   74.466   74.265     -
1902, 28        74.189   74.051   74.378   74.490   74.493   74.506   74.676   74.536   74.417   74.359     -        -
1902, 29        74.164            74.442   74.454   74.542   74.451   74.634   74.554   74.429   74.368     -        -
1902, 30        74.125            74.381   74.560   74.466   74.475   74.621   74.551   74.417   74.396   74.490     -
1902, 31        74.082            74.457            74.417            74.640   74.566            74.384              -
1903,  1        74.384   74.195   74.301   74.612   74.847   74.701   74.792   74.752   74.719   74.606   74.496   74.350
1903,  2        74.240   74.207   74.314   74.637   74.771   74.707   74.841   74.728   74.670   74.442   74.499   74.268
1903,  3        74.295   74.228   74.286   74.658   74.829   74.734   74.762   74.685   74.667   74.496   74.493   74.268
1903,  4        74.286   74.201   74.310   74.652   74.847   74.679   74.746   74.688   74.691   74.563   74.484   74.298
1903,  5        74.268   74.317   74.314   74.661   74.755   74.679   74.749   74.698   74.646   74.554   74.402   74.445
1903,  6        74.243   74.289   74.304   74.640   74.768   74.688   74.777   74.789   74.649   74.481   74.390   74.408
1903,  7        74.182   74.250   74.298   74.743   74.780   74.676   74.786   74.762   74.621   74.521   74.454   74.402
1903,  8        74.256   74.259     -      74.722   74.771   74.670   74.804   74.777   74.588   74.551   74.493   74.292
1903,  9        74.301     -      74.341   74.707   74.768   74.704   74.783   74.759   74.609   74.493   74.490   74.152
1903, 10        74.310     -      74.365   74.728   74.783   74.710   74.798   74.737   74.658   74.429   74.527   74.359
1903, 11        74.277   74.250   74.432   74.688   74.771   74.682   74.789   74.755   74.634   74.378   74.405   74.457
1903, 12        74.359   74.307   74.463   74.685   74.765   74.661   74.789   74.759   74.597   74.472   74.533   74.381
1903, 13        74.286   74.277   74.475   74.627   74.777   74.713   74.804   74.759   74.655   74.509   74.542   74.566
1903, 14        74.253   74.280   74.463   74.664   74.707   74.716   74.783   74.731   74.603   74.509   74.490   74.435
1903, 15        74.286   74.253   74.414   74.615   74.774   74.719   74.783   74.704   74.603   74.478   74.429   74.399
1903, 16        74.246   74.250   74.426   74.688   74.752   74.685   74.771   74.685   74.612   74.566   74.493   74.381
1903, 17        74.271   74.274   74.496   74.740   74.771   74.752   74.774   74.695   74.682   74.530   74.426   74.323
1903, 18        74.225   74.347   74.493   74.783   74.771   74.749   74.713   74.691   74.646   74.530   74.496   74.256
