t,v,s,f,q
2017-01-01T00:00:00Z,74.308,,"0,0,0,0",v
2017-01-01T00:06:00Z,74.305,0.000,"0,0,0,0",v
2017-01-01T00:12:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T00:18:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T00:24:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T00:30:00Z,74.297,0.001,"0,0,0,0",v
2017-01-01T00:36:00Z,74.296,0.000,"0,0,0,0",v
2017-01-01T00:42:00Z,74.294,0.000,"0,0,0,0",v
2017-01-01T00:48:00Z,74.3,0.001,"0,0,0,0",v
2017-01-01T00:54:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:00:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:06:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T01:12:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:18:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T01:24:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T01:30:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T01:36:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T01:42:00Z,74.298,0.000,"0,0,0,0",v
2017-01-01T01:48:00Z,74.298,0.000,"0,0,0,0",v
2017-01-01T01:54:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T02:00:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T02:06:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T02:12:00Z,74.304,0.000,"0,0,0,0",v
2017-01-01T02:18:00Z,74.308,0.000,"0,0,0,0",v
2017-01-01T02:24:00Z,74.311,0.001,"0,0,0,0",v
2017-01-01T02:30:00Z,74.317,0.001,"0,0,0,0",v
2017-01-01T02:36:00Z,74.323,0.001,"0,0,0,0",v
2017-01-01T02:42:00Z,74.329,0.001,"0,0,0,0",v
2017-01-01T02:48:00Z,74.333,0.001,"0,0,0,0",v
2017-01-01T02:54:00Z,74.339,0.001,"0,0,0,0",v
2017-01-01T03:00:00Z,74.344,0.001,"0,0,0,0",v
2017-01-01T03:06:00Z,74.35,0.000,"0,0,0,0",v
2017-01-01T03:12:00Z,74.355,0.000,"0,0,0,0",v
2017-01-01T03:18:00Z,74.359,0.000,"0,0,0,0",v
2017-01-01T03:24:00Z,74.36,0.000,"0,0,0,0",v
2017-01-01T03:30:00Z,74.366,0.001,"0,0,0,0",v
2017-01-01T03:36:00Z,74.369,0.000,"0,0,0,0",v
2017-01-01T03:42:00Z,74.374,0.001,"0,0,0,0",v
2017-01-01T03:48:00Z,74.376,0.001,"0,0,0,0",v
2017-01-01T03:54:00Z,74.379,0.000,"0,0,0,0",v
2017-01-01T04:00:00Z,74.38,0.000,"0,0,0,0",v
2017-01-01T04:06:00Z,74.382,0.000,"0,0,0,0",v
2017-01-01T04:12:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:18:00Z,74.385,0.000,"0,0,0,0",v
2017-01-01T04:24:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:30:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:36:00Z,74.383,0.000,"0,0,0,0",v
2017-01-01T04:42:00Z,74.378,0.001,"0,0,0,0",v
2017-01-01T04:48:00Z,74.373,0.001,"0,0,0,0",v
2017-01-01T04:54:00Z,74.367,0.001,"0,0,0,0",v
2017-01-01T05:00:00Z,74.359,0.002,"0,0,0,0",v
2017-01-01T05:06:00Z,74.35,0.001,"0,0,0,0",v
2017-01-01T05:12:00Z,74.342,0.001,"0,0,0,0",v
2017-01-01T05:18:00Z,74.336,0.002,"0,0,0,0",v
2017-01-01T05:24:00Z,74.329,0.001,"0,0,0,0",v
2017-01-01T05:30:00Z,74.323,0.000,"0,0,0,0",v
2017-01-01T05:36:00Z,74.318,0.001,"0,0,0,0",v
2017-01-01T05:42:00Z,74.312,0.001,"0,0,0,0",v
2017-01-01T05:48:00Z,74.306,0.001,"0,0,0,0",v
2017-01-01T05:54:00Z,74.301,0.001,"0,0,0,0",v
2017-01-01T06:00:00Z,74.295,0.001,"0,0,0,0",v
2017-01-01T06:06:00Z,74.289,0.001,"0,0,0,0",v
2017-01-01T06:12:00Z,74.285,0.000,"0,0,0,0",v
2017-01-01T06:18:00Z,74.278,0.001,"0,0,0,0",v
2017-01-01T06:24:00Z,74.271,0.000,"0,0,0,0",v
2017-01-01T06:30:00Z,74.266,0.001,"0,0,0,0",v
2017-01-01T06:36:00Z,74.26,0.001,"0,0,0,0",v
2017-01-01T06:42:00Z,74.253,0.001,"0,0,0,0",v
2017-01-01T06:48:00Z,74.248,0.000,"0,0,0,0",v
2017-01-01T06:54:00Z,74.244,0.001,"0,0,0,0",v
2017-01-01T07:00:00Z,74.242,0.000,"0,0,0,0",v
2017-01-01T07:06:00Z,74.243,0.000,"0,0,0,0",v
2017-01-01T07:12:00Z,74.245,0.001,"0,0,0,0",v
2017-01-01T07:18:00Z,74.25,0.001,"0,0,0,0",v
2017-01-01T07:24:00Z,74.258,0.001,"0,0,0,0",v
2017-01-01T07:30:00Z,74.266,0.001,"0,0,0,0",v
2017-01-01T07:36:00Z,74.273,0.002,"0,0,0,0",v
2017-01-01T07:42:00Z,74.283,0.001,"0,0,0,0",v
2017-01-01T07:48:00Z,74.29,0.002,"0,0,0,0",v
2017-01-01T07:54:00Z,74.3,0.002,"0,0,0,0",v
2017-01-01T08:00:00Z,74.306,0.002,"0,0,0,0",v
2017-01-01T08:06:00Z,74.321,0.002,"0,0,0,0",v
2017-01-01T08:12:00Z,74.329,0.000,"0,0,0,0",v
2017-01-01T08:18:00Z,74.334,0.001,"0,0,0,0",v
2017-01-01T08:24:00Z,74.336,0.000,"0,0,0,0",v
2017-01-01T08:30:00Z,74.345,0.001,"0,0,0,0",v
2017-01-01T08:36:00Z,74.354,0.001,"0,0,0,0",v
2017-01-01T08:42:00Z,74.361,0.001,"0,0,0,0",v
2017-01-01T08:48:00Z,74.366,0.001,"0,0,0,0",v
2017-01-01T08:54:00Z,74.376,0.001,"0,0,0,0",v
2017-01-01T09:00:00Z,74.384,0.001,"0,0,0,0",v
2017-01-01T09:06:00Z,74.393,0.002,"0,0,0,0",v
2017-01-01T09:12:00Z,74.398,0.000,"0,0,0,0",v
2017-01-01T09:18:00Z,74.405,0.001,"0,0,0,0",v
2017-01-01T09:24:00Z,74.408,0.000,"0,0,0,0",v
2017-01-01T09:30:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T09:36:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T09:42:00Z,74.413,0.001,"0,0,0,0",v
2017-01-01T09:48:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T09:54:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T10:00:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T10:06:00Z,74.412,0.000,"0,0,0,0",v
2017-01-01T10:12:00Z,74.409,0.000,"0,0,0,0",v
2017-01-01T10:18:00Z,74.408,0.000,"0,0,0,0",v
2017-01-01T10:24:00Z,74.405,0.000,"0,0,0,0",v
2017-01-01T10:30:00Z,74.405,0.000,"0,0,0,0",v
2017-01-01T10:36:00Z,74.402,0.001,"0,0,0,0",v
2017-01-01T10:42:00Z,74.4,0.001,"0,0,0,0",v
2017-01-01T10:48:00Z,74.397,0.000,"0,0,0,0",v
2017-01-01T10:54:00Z,74.393,0.001,"0,0,0,0",v
2017-01-01T11:00:00Z,74.389,0.001,"0,0,0,0",v
2017-01-01T11:06:00Z,74.386,0.000,"0,0,0,0",v
2017-01-01T11:12:00Z,74.381,0.001,"0,0,0,0",v
2017-01-01T11:18:00Z,74.375,0.001,"0,0,0,0",v
2017-01-01T11:24:00Z,74.37,0.000,"0,0,0,0",v
2017-01-01T11:30:00Z,74.366,0.001,"0,0,0,0",v
2017-01-01T11:36:00Z,74.36,0.000,"0,0,0,0",v
2017-01-01T11:42:00Z,74.354,0.001,"0,0,0,0",v
2017-01-01T11:48:00Z,74.347,0.001,"0,0,0,0",v
2017-01-01T11:54:00Z,74.34,0.001,"0,0,0,0",v
2017-01-01T12:00:00Z,74.332,0.001,"0,0,0,0",v
2017-01-01T12:06:00Z,74.324,0.001,"0,0,0,0",v
2017-01-01T12:12:00Z,74.315,0.001,"0,0,0,0",v
2017-01-01T12:18:00Z,74.307,0.002,"0,0,0,0",v
2017-01-01T12:24:00Z,74.299,0.001,"0,0,0,0",v
2017-01-01T12:30:00Z,74.294,0.001,"0,0,0,0",v
2017-01-01T12:36:00Z,74.289,0.000,"0,0,0,0",v
2017-01-01T12:42:00Z,74.286,0.000,"0,0,0,0",v
2017-01-01T12:48:00Z,74.284,0.000,"0,0,0,0",v
2017-01-01T12:54:00Z,74.285,0.000,"0,0,0,0",v
2017-01-01T13:00:00Z,74.287,0.000,"0,0,0,0",v
2017-01-01T13:06:00Z,74.29,0.001,"0,0,0,0",v
2017-01-01T13:12:00Z,74.291,0.000,"0,0,0,0",v
2017-01-01T13:18:00Z,74.291,0.000,"0,0,0,0",v
2017-01-01T13:24:00Z,74.291,0.001,"0,0,0,0",v
2017-01-01T13:30:00Z,74.292,0.000,"0,0,0,0",v
2017-01-01T13:36:00Z,74.294,0.000,"0,0,0,0",v
2017-01-01T13:42:00Z,74.296,0.000,"0,0,0,0",v
2017-01-01T13:48:00Z,74.295,0.000,"0,0,0,0",v
2017-01-01T13:54:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T14:00:00Z,74.301,0.001,"0,0,0,0",v
2017-01-01T14:06:00Z,74.303,0.000,"0,0,0,0",v
2017-01-01T14:12:00Z,74.303,0.000,"0,0,0,0",v
2017-01-01T14:18:00Z,74.305,0.000,"0,0,0,0",v
2017-01-01T14:24:00Z,74.304,0.000,"0,0,0,0",v
2017-01-01T14:30:00Z,74.306,0.000,"0,0,0,0",v
2017-01-01T14:36:00Z,74.305,0.001,"0,0,0,0",v
2017-01-01T14:42:00Z,74.304,0.000,"0,0,0,0",v
2017-01-01T14:48:00Z,74.303,0.000,"0,0,0,0",v
2017-01-01T14:54:00Z,74.301,0.001,"0,0,0,0",v
2017-01-01T15:00:00Z,74.297,0.001,"0,0,0,0",v
2017-01-01T15:06:00Z,74.295,0.001,"0,0,0,0",v
2017-01-01T15:12:00Z,74.288,0.001,"0,0,0,0",v
2017-01-01T15:18:00Z,74.286,0.001,"0,0,0,0",v
2017-01-01T15:24:00Z,74.281,0.001,"0,0,0,0",v
2017-01-01T15:30:00Z,74.276,0.000,"0,0,0,0",v
2017-01-01T15:36:00Z,74.272,0.001,"0,0,0,0",v
2017-01-01T15:42:00Z,74.267,0.000,"0,0,0,0",v
2017-01-01T15:48:00Z,74.265,0.001,"0,0,0,0",v
2017-01-01T15:54:00Z,74.261,0.000,"0,0,0,0",v
2017-01-01T16:00:00Z,74.26,0.000,"0,0,0,0",v
2017-01-01T16:06:00Z,74.257,0.000,"0,0,0,0",v
2017-01-01T16:12:00Z,74.252,0.001,"0,0,0,0",v
2017-01-01T16:18:00Z,74.249,0.001,"0,0,0,0",v
2017-01-01T16:24:00Z,74.245,0.001,"0,0,0,0",v
2017-01-01T16:30:00Z,74.241,0.000,"0,0,0,0",v
2017-01-01T16:36:00Z,74.237,0.001,"0,0,0,0",v
2017-01-01T16:42:00Z,74.235,0.000,"0,0,0,0",v
2017-01-01T16:48:00Z,74.232,0.001,"0,0,0,0",v
2017-01-01T16:54:00Z,74.229,0.001,"0,0,0,0",v
2017-01-01T17:00:00Z,74.228,0.001,"0,0,0,0",v
2017-01-01T17:06:00Z,74.224,0.000,"0,0,0,0",v
2017-01-01T17:12:00Z,74.222,0.000,"0,0,0,0",v
2017-01-01T17:18:00Z,74.22,0.000,"0,0,0,0",v
2017-01-01T17:24:00Z,74.22,0.000,"0,0,0,0",v
2017-01-01T17:30:00Z,74.221,0.000,"0,0,0,0",v
2017-01-01T17:36:00Z,74.224,0.000,"0,0,0,0",v
2017-01-01T17:42:00Z,74.224,0.000,"0,0,0,0",v
2017-01-01T17:48:00Z,74.226,0.001,"0,0,0,0",v
2017-01-01T17:54:00Z,74.228,0.001,"0,0,0,0",v
2017-01-01T18:00:00Z,74.231,0.000,"0,0,0,0",v
2017-01-01T18:06:00Z,74.233,0.000,"0,0,0,0",v
2017-01-01T18:12:00Z,74.235,0.001,"0,0,0,0",v
2017-01-01T18:18:00Z,74.236,0.000,"0,0,0,0",v
2017-01-01T18:24:00Z,74.24,0.000,"0,0,0,0",v
2017-01-01T18:30:00Z,74.242,0.001,"0,0,0,0",v
2017-01-01T18:36:00Z,74.246,0.000,"0,0,0,0",v
2017-01-01T18:42:00Z,74.248,0.000,"0,0,0,0",v
2017-01-01T18:48:00Z,74.25,0.000,"0,0,0,0",v
2017-01-01T18:54:00Z,74.253,0.000,"0,0,0,0",v
2017-01-01T19:00:00Z,74.257,0.001,"0,0,0,0",v
2017-01-01T19:06:00Z,74.259,0.000,"0,0,0,0",v
2017-01-01T19:12:00Z,74.258,0.000,"0,0,0,0",v
2017-01-01T19:18:00Z,74.259,0.000,"0,0,0,0",v
2017-01-01T19:24:00Z,74.262,0.001,"0,0,0,0",v
2017-01-01T19:30:00Z,74.262,0.001,"0,0,0,0",v
2017-01-01T19:36:00Z,74.262,0.000,"0,0,0,0",v
2017-01-01T19:42:00Z,74.263,0.000,"0,0,0,0",v
2017-01-01T19:48:00Z,74.263,0.000,"0,0,0,0",v
2017-01-01T19:54:00Z,74.265,0.000,"0,0,0,0",v
2017-01-01T20:00:00Z,74.264,0.000,"0,0,0,0",v
2017-01-01T20:06:00Z,74.263,0.000,"0,0,0,0",v
2017-01-01T20:12:00Z,74.263,0.000,"0,0,0,0",v
2017-01-01T20:18:00Z,74.262,0.000,"0,0,0,0",v
2017-01-01T20:24:00Z,74.258,0.001,"0,0,0,0",v
2017-01-01T20:30:00Z,74.255,0.000,"0,0,0,0",v
2017-01-01T20:36:00Z,74.252,0.000,"0,0,0,0",v
2017-01-01T20:42:00Z,74.253,0.001,"0,0,0,0",v
2017-01-01T20:48:00Z,74.249,0.001,"0,0,0,0",v
2017-01-01T20:54:00Z,74.245,0.000,"0,0,0,0",v
2017-01-01T21:00:00Z,74.242,0.001,"0,0,0,0",v
2017-01-01T21:06:00Z,74.24,0.001,"0,0,0,0",v
2017-01-01T21:12:00Z,74.236,0.000,"0,0,0,0",v
2017-01-01T21:18:00Z,74.232,0.001,"0,0,0,0",v
2017-01-01T21:24:00Z,74.226,0.001,"0,0,0,0",v
2017-01-01T21:30:00Z,74.222,0.000,"0,0,0,0",v
2017-01-01T21:36:00Z,74.216,0.001,"0,0,0,0",v
2017-01-01T21:42:00Z,74.215,0.000,"0,0,0,0",v
2017-01-01T21:48:00Z,74.21,0.000,"0,0,0,0",v
2017-01-01T21:54:00Z,74.208,0.000,"0,0,0,0",v
2017-01-01T22:00:00Z,74.206,0.000,"0,0,0,0",v
2017-01-01T22:06:00Z,74.206,0.000,"0,0,0,0",v
2017-01-01T22:12:00Z,74.204,0.000,"0,0,0,0",v
2017-01-01T22:18:00Z,74.202,0.000,"0,0,0,0",v
2017-01-01T22:24:00Z,74.201,0.001,"0,0,0,0",v
2017-01-01T22:30:00Z,74.199,0.000,"0,0,0,0",v
2017-01-01T22:36:00Z,74.197,0.000,"0,0,0,0",v
2017-01-01T22:42:00Z,74.196,0.001,"0,0,0,0",v
2017-01-01T22:48:00Z,74.194,0.000,"0,0,0,0",v
2017-01-01T22:54:00Z,74.195,0.000,"0,0,0,0",v
2017-01-01T23:00:00Z,74.198,0.000,"0,0,0,0",v
2017-01-01T23:06:00Z,74.199,0.000,"0,0,0,0",v
2017-01-01T23:12:00Z,74.201,0.000,"0,0,0,0",v
2017-01-01T23:18:00Z,74.203,0.000,"0,0,0,0",v
2017-01-01T23:24:00Z,74.206,0.000,"0,0,0,0",v
2017-01-01T23:30:00Z,74.209,0.000,"0,0,0,0",v
2017-01-01T23:36:00Z,74.209,0.000,"0,0,0,0",v
2017-01-01T23:42:00Z,74.211,0.000,"0,0,0,0",v
2017-01-01T23:48:00Z,74.212,0.000,"0,0,0,0",v
2017-01-01T23:54:00Z,74.215,0.000,"0,0,0,0",v
2017-01-02T00:00:00Z,74.218,0.000,"0,0,0,0",v
2017-01-02T00:06:00Z,74.222,0.001,"0,0,0,0",v
2017-01-02T00:12:00Z,74.226,0.000,"0,0,0,0",v
2017-01-02T00:18:00Z,74.226,0.000,"0,0,0,0",v
2017-01-02T00:24:00Z,74.227,0.000,"0,0,0,0",v
2017-01-02T00:30:00Z,74.228,0.000,"0,0,0,0",v
2017-01-02T00:36:00Z,74.228,0.000,"0,0,0,0",v
2017-01-02T00:42:00Z,74.229,0.000,"0,0,0,0",v
2017-01-02T00:48:00Z,74.231,0.000,"0,0,0,0",v
2017-01-02T00:54:00Z,74.232,0.000,"0,0,0,0",v
2017-01-02T01:00:00Z,74.232,0.000,"0,0,0,0",v
2017-01-02T01:06:00Z,74.232,0.000,"0,0,0,0",v
2017-01-02T01:12:00Z,74.234,0.000,"0,0,0,0",v
2017-01-02T01:18:00Z,74.233,0.000,"0,0,0,0",v
2017-01-02T01:24:00Z,74.233,0.000,"0,0,0,0",v
2017-01-02T01:30:00Z,74.231,0.000,"0,0,0,0",v
2017-01-02T01:36:00Z,74.231,0.000,"0,0,0,0",v
2017-01-02T01:42:00Z,74.229,0.000,"0,0,0,0",v
2017-01-02T01:48:00Z,74.228,0.000,"0,0,0,0",v
2017-01-02T01:54:00Z,74.225,0.000,"0,0,0,0",v
2017-01-02T02:00:00Z,74.221,0.001,"0,0,0,0",v
2017-01-02T02:06:00Z,74.219,0.000,"0,0,0,0",v
2017-01-02T02:12:00Z,74.217,0.000,"0,0,0,0",v
2017-01-02T02:18:00Z,74.216,0.000,"0,0,0,0",v
2017-01-02T02:24:00Z,74.214,0.000,"0,0,0,0",v
2017-01-02T02:30:00Z,74.213,0.000,"0,0,0,0",v
2017-01-02T02:36:00Z,74.21,0.000,"0,0,0,0",v
2017-01-02T02:42:00Z,74.207,0.001,"0,0,0,0",v
2017-01-02T02:48:00Z,74.206,0.000,"0,0,0,0",v
2017-01-02T02:54:00Z,74.205,0.001,"0,0,0,0",v
2017-01-02T03:00:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T03:06:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T03:12:00Z,74.201,0.000,"0,0,0,0",v
2017-01-02T03:18:00Z,74.201,0.000,"0,0,0,0",v
2017-01-02T03:24:00Z,74.2,0.000,"0,0,0,0",v
2017-01-02T03:30:00Z,74.2,0.000,"0,0,0,0",v
2017-01-02T03:36:00Z,74.2,0.000,"0,0,0,0",v
2017-01-02T03:42:00Z,74.2,0.000,"0,0,0,0",v
2017-01-02T03:48:00Z,74.201,0.001,"0,0,0,0",v
2017-01-02T03:54:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T04:00:00Z,74.204,0.000,"0,0,0,0",v
2017-01-02T04:06:00Z,74.204,0.000,"0,0,0,0",v
2017-01-02T04:12:00Z,74.205,0.000,"0,0,0,0",v
2017-01-02T04:18:00Z,74.207,0.001,"0,0,0,0",v
2017-01-02T04:24:00Z,74.208,0.000,"0,0,0,0",v
2017-01-02T04:30:00Z,74.21,0.000,"0,0,0,0",v
2017-01-02T04:36:00Z,74.211,0.000,"0,0,0,0",v
2017-01-02T04:42:00Z,74.212,0.000,"0,0,0,0",v
2017-01-02T04:48:00Z,74.214,0.001,"0,0,0,0",v
2017-01-02T04:54:00Z,74.216,0.000,"0,0,0,0",v
2017-01-02T05:00:00Z,74.218,0.000,"0,0,0,0",v
2017-01-02T05:06:00Z,74.219,0.001,"0,0,0,0",v
2017-01-02T05:12:00Z,74.221,0.000,"0,0,0,0",v
2017-01-02T05:18:00Z,74.224,0.000,"0,0,0,0",v
2017-01-02T05:24:00Z,74.224,0.000,"0,0,0,0",v
2017-01-02T05:30:00Z,74.226,0.000,"0,0,0,0",v
2017-01-02T05:36:00Z,74.229,0.000,"0,0,0,0",v
2017-01-02T05:42:00Z,74.232,0.000,"0,0,0,0",v
2017-01-02T05:48:00Z,74.236,0.000,"0,0,0,0",v
2017-01-02T05:54:00Z,74.238,0.000,"0,0,0,0",v
2017-01-02T06:00:00Z,74.239,0.001,"0,0,0,0",v
2017-01-02T06:06:00Z,74.24,0.000,"0,0,0,0",v
2017-01-02T06:12:00Z,74.24,0.000,"0,0,0,0",v
2017-01-02T06:18:00Z,74.24,0.000,"0,0,0,0",v
2017-01-02T06:24:00Z,74.241,0.000,"0,0,0,0",v
2017-01-02T06:30:00Z,74.241,0.000,"0,0,0,0",v
2017-01-02T06:36:00Z,74.242,0.000,"0,0,0,0",v
2017-01-02T06:42:00Z,74.241,0.000,"0,0,0,0",v
2017-01-02T06:48:00Z,74.242,0.000,"0,0,0,0",v
2017-01-02T06:54:00Z,74.242,0.000,"0,0,0,0",v
2017-01-02T07:00:00Z,74.242,0.000,"0,0,0,0",v
2017-01-02T07:06:00Z,74.238,0.000,"0,0,0,0",v
2017-01-02T07:12:00Z,74.24,0.001,"0,0,0,0",v
2017-01-02T07:18:00Z,74.238,0.000,"0,0,0,0",v
2017-01-02T07:24:00Z,74.236,0.000,"0,0,0,0",v
2017-01-02T07:30:00Z,74.233,0.001,"0,0,0,0",v
2017-01-02T07:36:00Z,74.23,0.000,"0,0,0,0",v
2017-01-02T07:42:00Z,74.228,0.000,"0,0,0,0",v
2017-01-02T07:48:00Z,74.227,0.000,"0,0,0,0",v
2017-01-02T07:54:00Z,74.227,0.000,"0,0,0,0",v
2017-01-02T08:00:00Z,74.225,0.000,"0,0,0,0",v
2017-01-02T08:06:00Z,74.225,0.000,"0,0,0,0",v
2017-01-02T08:12:00Z,74.222,0.000,"0,0,0,0",v
2017-01-02T08:18:00Z,74.223,0.000,"0,0,0,0",v
2017-01-02T08:24:00Z,74.219,0.000,"0,0,0,0",v
2017-01-02T08:30:00Z,74.218,0.000,"0,0,0,0",v
2017-01-02T08:36:00Z,74.216,0.001,"0,0,0,0",v
2017-01-02T08:42:00Z,74.214,0.000,"0,0,0,0",v
2017-01-02T08:48:00Z,74.212,0.000,"0,0,0,0",v
2017-01-02T08:54:00Z,74.21,0.000,"0,0,0,0",v
2017-01-02T09:00:00Z,74.21,0.000,"0,0,0,0",v
2017-01-02T09:06:00Z,74.21,0.000,"0,0,0,0",v
2017-01-02T09:12:00Z,74.209,0.000,"0,0,0,0",v
2017-01-02T09:18:00Z,74.209,0.000,"0,0,0,0",v
2017-01-02T09:24:00Z,74.208,0.000,"0,0,0,0",v
2017-01-02T09:30:00Z,74.208,0.000,"0,0,0,0",v
2017-01-02T09:36:00Z,74.206,0.000,"0,0,0,0",v
2017-01-02T09:42:00Z,74.204,0.000,"0,0,0,0",v
2017-01-02T09:48:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T09:54:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T10:00:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T10:06:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T10:12:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T10:18:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T10:24:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T10:30:00Z,74.201,0.000,"0,0,0,0",v
2017-01-02T10:36:00Z,74.201,0.000,"0,0,0,0",v
2017-01-02T10:42:00Z,74.203,0.000,"0,0,0,0",v
2017-01-02T10:48:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T10:54:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T11:00:00Z,74.202,0.000,"0,0,0,0",v
2017-01-02T11:06:00Z,74.205,0.001,"0,0,0,0",v
2017-01-02T11:12:00Z,74.204,0.000,"0,0,0,0",v
2017-01-02T11:18:00Z,74.207,0.000,"0,0,0,0",v
2017-01-02T11:24:00Z,74.205,0.000,"0,0,0,0",v
2017-01-02T11:30:00Z,74.204,0.000,"0,0,0,0",v
2017-01-02T11:36:00Z,74.205,0.000,"0,0,0,0",v
2017-01-02T11:42:00Z,74.203,0.001,"0,0,0,0",v
2017-01-02T11:48:00Z,74.198,0.000,"0,0,0,0",v
2017-01-02T11:54:00Z,74.2,0.001,"0,0,0,0",v
2017-01-02T12:00:00Z,74.192,0.001,"0,0,0,0",v
2017-01-02T12:06:00Z,74.192,0.001,"0,0,0,0",v
2017-01-02T12:12:00Z,74.189,0.000,"0,0,0,0",v
2017-01-02T12:18:00Z,74.187,0.001,"0,0,0,0",v
2017-01-02T12:24:00Z,74.184,0.000,"0,0,0,0",v
2017-01-02T12:30:00Z,74.185,0.000,"0,0,0,0",v
2017-01-02T12:36:00Z,74.18,0.000,"0,0,0,0",v
2017-01-02T12:42:00Z,74.18,0.001,"0,0,0,0",v
2017-01-02T12:48:00Z,74.175,0.001,"0,0,0,0",v
2017-01-02T12:54:00Z,74.169,0.001,"0,0,0,0",v
2017-01-02T13:00:00Z,74.171,0.000,"0,0,0,0",v
2017-01-02T13:06:00Z,74.166,0.000,"0,0,0,0",v
2017-01-02T13:12:00Z,74.165,0.001,"0,0,0,0",v
2017-01-02T13:18:00Z,74.164,0.000,"0,0,0,0",v
2017-01-02T13:24:00Z,74.164,0.001,"0,0,0,0",v
2017-01-02T13:30:00Z,74.171,0.001,"0,0,0,0",v
2017-01-02T13:36:00Z,74.169,0.001,"0,0,0,0",v
2017-01-02T13:42:00Z,74.173,0.000,"0,0,0,0",v
2017-01-02T13:48:00Z,74.173,0.001,"0,0,0,0",v
2017-01-02T13:54:00Z,74.173,0.000,"0,0,0,0",v
2017-01-02T14:00:00Z,74.173,0.001,"0,0,0,0",v
2017-01-02T14:06:00Z,74.177,0.000,"0,0,0,0",v
2017-01-02T14:12:00Z,74.174,0.000,"0,0,0,0",v
2017-01-02T14:18:00Z,74.175,0.000,"0,0,0,0",v
2017-01-02T14:24:00Z,74.178,0.001,"0,0,0,0",v
2017-01-02T14:30:00Z,74.18,0.000,"0,0,0,0",v
2017-01-02T14:36:00Z,74.183,0.000,"0,0,0,0",v
2017-01-02T14:42:00Z,74.184,0.000,"0,0,0,0",v
2017-01-02T14:48:00Z,74.186,0.000,"0,0,0,0",v
2017-01-02T14:54:00Z,74.189,0.000,"0,0,0,0",v
2017-01-02T15:00:00Z,74.189,0.000,"0,0,0,0",v
2017-01-02T15:06:00Z,74.19,0.000,"0,0,0,0",v
2017-01-02T15:12:00Z,74.188,0.000,"0,0,0,0",v
2017-01-02T15:18:00Z,74.188,0.000,"0,0,0,0",v
2017-01-02T15:24:00Z,74.194,0.000,"0,0,0,0",v
2017-01-02T15:30:00Z,74.191,0.000,"0,0,0,0",v
2017-01-02T15:36:00Z,74.192,0.000,"0,0,0,0",v
2017-01-02T15:42:00Z,74.197,0.000,"0,0,0,0",v
2017-01-02T15:48:00Z,74.194,0.000,"0,0,0,0",v
2017-01-02T15:54:00Z,74.194,0.000,"0,0,0,0",v
2017-01-02T16:00:00Z,74.196,0.000,"0,0,0,0",v
2017-01-02T16:06:00Z,74.194,0.000,"0,0,0,0",v
2017-01-02T16:12:00Z,74.194,0.000,"0,0,0,0",v
2017-01-02T16:18:00Z,74.192,0.000,"0,0,0,0",v
2017-01-02T16:24:00Z,74.196,0.000,"0,0,0,0",v
2017-01-02T16:30:00Z,74.195,0.000,"0,0,0,0",v
2017-01-02T16:36:00Z,74.196,0.000,"0,0,0,0",v
2017-01-02T16:42:00Z,74.195,0.000,"0,0,0,0",v
2017-01-02T16:48:00Z,74.196,0.000,"0,0,0,0",v
2017-01-02T16:54:00Z,74.195,0.000,"0,0,0,0",v
2017-01-02T17:00:00Z,74.196,0.000,"0,0,0,0",v
