Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
33	2022	9	33	-18.5619416704003	-96.31817258717183	-159.7452043916628	-129.43208718026972	5987.0	5951.5782095804	5971.8812428604	5907.665346529731	600.616877896	588.9774996853072	612.1336720324973	637.8103357670398	5968.4380583296	5855.260036993228	5812.136038468737	5778.233259349461
34	2022	9	34	-52.86287507039992	-125.45112229881192	-104.90750376142682	-90.35559064238964	5907.0	5971.8812428604	5882.3092609204	5955.809265929395	424.35212629599994	496.39698314618727	552.4363925526734	631.1553960276547	5854.1371249296	5846.4301205615875	5777.401757158974	5865.453675287005
35	2022	9	35	153.07399820959995	114.8991456798758	66.83381876196233	99.98396502960327	5891.0	5882.3092609204	5909.8040149904	5945.385251621923	602.0116670960001	626.6867560687472	685.92667365332	711.4516748607969	6044.0739982096	5997.208406600276	5976.637833752362	6045.369216651527
36	2022	9	36	-40.33017387040036	-55.67016422929191	12.378204307527085	119.16584221099129	5841.0	5909.8040149904	5921.8885440103995	5825.325951456939	413.0994266959999	535.7682273534672	600.686291896074	671.6644218221988	5800.6698261296	5854.133850761108	5934.266748317927	5944.49179366793
37	2022	10	37	-204.5378637104002	-105.10531090735617	35.15034760100593	124.98645146341778	5795.0	5921.8885440103995	5760.0254277304	5881.145120153515	581.696505096	632.9752804203472	695.4826103261792	821.0791721273137	5590.4621362896	5816.783233103043	5795.175775331406	6006.131571616932
38	2022	10	38	240.6587592095999	308.020678330476	320.12306921523736	417.4543988734922	5777.0	5760.0254277304	5798.7325163204	5719.821933903451	558.573574696	643.1759282470673	782.4947979886973	869.6731088170324	6017.6587592096	6068.046106060876	6118.855585535637	6137.2763327769435
39	2022	10	39	-42.07216879039993	43.83655122167579	219.87477741900057	424.14277442421417	5698.0	5798.7325163204	5684.5418706104	5773.4106766334435	752.939350696	859.6618519702671	926.5959026867796	980.0934467343205	5655.9278312096	5842.569067542076	5904.416648029401	6197.553451057658
40	2022	10	40	-16.877997470400487	171.96002741014797	389.87769975612514	570.2008715148362	5712.0	5684.5418706104	5724.0772213504	5661.2264283135955	798.0723076959999	883.2965632376671	948.1533991753362	1017.2594871226801	5695.1220025296	5856.501898020548	6113.954921106525	6231.427299828431
41	2022	11	41	-72.99147499039987	196.56670173915586	431.95918643893674	559.5407416791097	5699.0	5724.0772213504	5669.4502123104	5814.643650434507	849.373985696	924.3047862772672	999.667398193117	1016.1260056939989	5626.0085250096	5920.643923089556	6101.409398749337	6374.184392113617
42	2022	11	42	710.0798557696	837.2138565578522	849.3488180783579	1050.8778855601254	5674.0	5669.4502123104	5786.1597269304	5700.375661132556	1370.2348918960001	1313.1699454401073	1247.3832580292149	1148.4186807956316	6384.0798557696	6506.664068868253	6635.508545008758	6751.253546692682
43	2022	11	43	779.7493570096001	803.9989441263563	1018.4470199735019	1083.5281577823835	5716.0	5786.1597269304	5726.8531803704	5724.671908748412	1445.8006122959998	1340.626686491387	1217.2003199045757	1208.0000110373944	6495.7493570096	6590.158671056756	6745.300200343901	6808.200066530795
44	2022	11	44	659.8394992895999	904.679168452444	1002.1698302010672	1103.8049868043154	5746.0	5726.8531803704	5701.8290560704	5665.8314532150835	1627.305794896	1418.744529624707	1356.6704463280842	1264.6593277770983	6405.8394992896	6631.532348822844	6703.998886271467	6769.636440019399
45	2022	12	45	697.3551420895999	838.553710045324	986.798875471088	1033.9524782403282	5889.0	5701.8290560704	5758.0605642204	5799.439472193243	1362.914238496	1317.4200385582271	1235.7060017719264	1179.3731116745275	6586.3551420896	6540.382766115724	6744.859439691488	6833.391950433572
46	2022	12	46	1039.1409596096	1145.0984614003162	1147.1565986999033	1302.104646412934	5822.0	5758.0605642204	5867.7927051004	5817.457293012963	1298.394096696	1222.330180847467	1169.5063478415645	1074.9283087724343	6861.1409596096	6903.159025620716	7014.949303800303	7119.561939425897
47	2022	12	47	740.1977619696	827.6167814803721	1073.5934740822458	1199.5165762467288	6115.0	5867.7927051004	6020.4844440844	5817.317905325507	1246.297626096	1186.3561972725472	1087.357712985859	1178.9190324230622	6855.1977619696	6695.409486580772	7094.077918166646	7016.834481572236
48	2022	12	48	908.2049236496	1137.1920804937001	1244.9975815127955	1339.1419736950638	6186.0	6020.4844440844	5998.3142146644	5888.691220135607	1136.6103982959999	1052.384889896587	1153.1210953885707	1158.1391179528132	7094.2049236496005	7157.6765245781	7243.311796177196	7227.833193830671
49	2023	1	1	1267.6098237296	1347.920747351668	1412.7449865855308	1437.917826413017	6301.0	5998.3142146644	6048.2484683404	5988.930791915511	952.011942096	1082.5558332237474	1106.0861800042912	1068.022091936183	7568.6098237296	7346.2349620160685	7460.993454925931	7426.848618328528
50	2023	1	2	1422.6181250096	1471.6947153391561	1480.0742992534967	1612.53395673938	6376.0	6048.2484683404	6203.7584666144	6044.40399249242	1145.924065096	1150.6359914123473	1100.8845585054335	1123.5520078194895	7798.6181250096	7519.943183679556	7683.832765867897	7656.9379492318
51	2023	1	3	1377.9051532096	1406.057387002876	1559.6025520153582	1537.669339411839	6504.0	6203.7584666144	6303.6354637004	6132.693633620671	1043.913318096	1025.8552444669472	1068.2061321272372	945.8476824693699	7881.9051532096	7609.815853617276	7863.238015715758	7670.36297303251
