t,v,f
2017-05-08T04:00:00Z,75.535,"0,0"
2017-05-09T04:00:00Z,75.529,"0,0"
2017-05-10T04:00:00Z,75.526,"0,0"
2017-05-11T04:00:00Z,75.482,"0,0"
2017-05-12T04:00:00Z,75.494,"0,0"
2017-05-13T04:00:00Z,75.505,"0,0"
2017-05-14T04:00:00Z,75.524,"0,0"
2017-05-15T04:00:00Z,75.515,"0,0"
2017-05-16T04:00:00Z,75.496,"0,0"
2017-05-17T04:00:00Z,75.495,"0,0"
2017-05-18T04:00:00Z,75.482,"0,0"
2017-05-19T04:00:00Z,75.452,"0,0"
2017-05-20T04:00:00Z,75.359,"0,0"
2017-05-21T04:00:00Z,75.341,"0,0"
2017-05-22T04:00:00Z,75.416,"0,0"
2017-05-23T04:00:00Z,75.414,"0,0"
2017-05-24T04:00:00Z,75.353,"0,0"
2017-05-25T04:00:00Z,75.311,"0,0"
2017-05-26T04:00:00Z,75.359,"0,0"
2017-05-27T04:00:00Z,75.379,"0,0"
2017-05-28T04:00:00Z,75.369,"0,0"
2017-05-29T04:00:00Z,75.392,"0,0"
2017-05-30T04:00:00Z,75.397,"0,0"
2017-05-31T04:00:00Z,75.41,"0,0"
