t,v,f
2017-05-08T04:00:00Z,75.635,"0,0"
2017-05-09T04:00:00Z,75.642,"0,0"
2017-05-10T04:00:00Z,75.652,"0,0"
2017-05-11T04:00:00Z,75.64,"0,0"
2017-05-12T04:00:00Z,75.657,"0,0"
2017-05-13T04:00:00Z,75.661,"0,0"
2017-05-14T04:00:00Z,75.687,"0,0"
2017-05-15T04:00:00Z,75.69,"0,0"
2017-05-16T04:00:00Z,75.671,"0,0"
2017-05-17T04:00:00Z,75.678,"0,0"
2017-05-18T04:00:00Z,75.673,"0,0"
2017-05-19T04:00:00Z,75.666,"0,0"
2017-05-20T04:00:00Z,75.609,"0,0"
2017-05-21T04:00:00Z,75.596,"0,0"
2017-05-22T04:00:00Z,75.654,"0,0"
2017-05-23T04:00:00Z,75.641,"0,0"
2017-05-24T04:00:00Z,75.61,"0,0"
2017-05-25T04:00:00Z,75.591,"0,0"
2017-05-26T04:00:00Z,75.634,"0,0"
2017-05-27T04:00:00Z,75.639,"0,0"
2017-05-28T04:00:00Z,75.626,"0,0"
2017-05-29T04:00:00Z,75.646,"0,0"
2017-05-30T04:00:00Z,75.646,"0,0"
2017-05-31T04:00:00Z,75.652,"0,0"
