,date,wt_lvl__m,data_flag
0,2017-01-01T05:00:00Z,74.398,"0,0"
1,2017-01-02T05:00:00Z,74.335,"0,0"
2,2017-01-03T05:00:00Z,74.332,"0,0"
3,2017-01-04T05:00:00Z,74.522,"0,0"
4,2017-01-05T05:00:00Z,74.523,"0,0"
5,2017-01-06T05:00:00Z,74.438,"0,0"
6,2017-01-07T05:00:00Z,74.416,"0,0"
7,2017-01-08T05:00:00Z,74.431,"0,0"
8,2017-01-09T05:00:00Z,74.455,"0,0"
9,2017-01-10T05:00:00Z,74.468,"0,0"
10,2017-01-11T05:00:00Z,74.524,"0,0"
11,2017-01-12T05:00:00Z,74.494,"0,0"
12,2017-01-13T05:00:00Z,74.499,"0,0"
13,2017-01-14T05:00:00Z,74.458,"0,0"
14,2017-01-15T05:00:00Z,74.484,"0,0"
15,2017-01-16T05:00:00Z,74.51,"0,0"
16,2017-01-17T05:00:00Z,74.449,"0,0"
17,2017-01-18T05:00:00Z,74.525,"0,0"
18,2017-01-19T05:00:00Z,74.538,"0,0"
19,2017-01-20T05:00:00Z,74.514,"0,0"
20,2017-01-21T05:00:00Z,74.525,"0,0"
21,2017-01-22T05:00:00Z,74.461,"0,0"
22,2017-01-23T05:00:00Z,74.434,"0,0"
23,2017-01-24T05:00:00Z,74.487,"0,0"
24,2017-01-25T05:00:00Z,74.547,"0,0"
25,2017-01-26T05:00:00Z,74.583,"0,0"
26,2017-01-27T05:00:00Z,74.673,"0,0"
27,2017-01-28T05:00:00Z,74.654,"0,0"
28,2017-01-29T05:00:00Z,74.652,"0,0"
29,2017-01-30T05:00:00Z,74.606,"0,0"
30,2017-01-31T05:00:00Z,74.57,"0,0"
31,2017-02-01T05:00:00Z,74.632,"0,0"
32,2017-02-02T05:00:00Z,74.655,"0,0"
33,2017-02-03T05:00:00Z,74.672,"0,0"
34,2017-02-04T05:00:00Z,74.672,"0,0"
35,2017-02-05T05:00:00Z,74.688,"0,0"
36,2017-02-06T05:00:00Z,74.596,"0,0"
37,2017-02-07T05:00:00Z,74.53,"0,0"
38,2017-02-08T05:00:00Z,74.693,"0,0"
39,2017-02-09T05:00:00Z,74.627,"0,0"
40,2017-02-10T05:00:00Z,74.63,"0,0"
41,2017-02-11T05:00:00Z,74.646,"0,0"
42,2017-02-12T05:00:00Z,74.636,"0,0"
43,2017-02-13T05:00:00Z,74.695,"0,0"
44,2017-02-14T05:00:00Z,74.687,"0,0"
45,2017-02-15T05:00:00Z,74.712,"0,0"
46,2017-02-16T05:00:00Z,74.713,"0,0"
47,2017-02-17T05:00:00Z,74.69,"0,0"
48,2017-02-18T05:00:00Z,74.713,"0,0"
49,2017-02-19T05:00:00Z,74.712,"0,0"
50,2017-02-20T05:00:00Z,74.681,"0,0"
51,2017-02-21T05:00:00Z,74.685,"0,0"
52,2017-02-22T05:00:00Z,74.696,"0,0"
53,2017-02-23T05:00:00Z,74.718,"0,0"
54,2017-02-24T05:00:00Z,74.672,"0,0"
55,2017-02-25T05:00:00Z,74.742,"0,0"
56,2017-02-26T05:00:00Z,74.803,"0,0"
57,2017-02-27T05:00:00Z,74.79,"0,0"
58,2017-02-28T05:00:00Z,74.742,"0,0"
59,2017-03-01T05:00:00Z,74.806,"0,0"
60,2017-03-02T05:00:00Z,74.882,"0,0"
61,2017-03-03T05:00:00Z,74.806,"0,0"
62,2017-03-04T05:00:00Z,74.78,"0,0"
63,2017-03-05T05:00:00Z,74.762,"0,0"
