,date,wt_lvl__m,data_flag
0,2017-01-01T05:00:00Z,74.268,"0,0"
1,2017-01-02T05:00:00Z,74.18,"0,0"
2,2017-01-03T05:00:00Z,74.155,"0,0"
3,2017-01-04T05:00:00Z,74.398,"0,0"
4,2017-01-05T05:00:00Z,74.437,"0,0"
5,2017-01-06T05:00:00Z,74.307,"0,0"
6,2017-01-07T05:00:00Z,74.26,"0,0"
7,2017-01-08T05:00:00Z,74.279,"0,0"
8,2017-01-09T05:00:00Z,74.312,"0,0"
9,2017-01-10T05:00:00Z,74.327,"0,0"
10,2017-01-11T05:00:00Z,74.445,"0,0"
11,2017-01-12T05:00:00Z,74.352,"0,0"
12,2017-01-13T05:00:00Z,74.372,"0,0"
13,2017-01-14T05:00:00Z,74.306,"0,0"
14,2017-01-15T05:00:00Z,74.343,"0,0"
15,2017-01-16T05:00:00Z,74.394,"0,0"
16,2017-01-17T05:00:00Z,74.292,"0,0"
17,2017-01-18T05:00:00Z,74.364,"0,0"
18,2017-01-19T05:00:00Z,74.398,"0,0"
19,2017-01-20T05:00:00Z,74.361,"0,0"
20,2017-01-21T05:00:00Z,74.359,"0,0"
21,2017-01-22T05:00:00Z,74.246,"0,0"
22,2017-01-23T05:00:00Z,74.194,"0,0"
23,2017-01-24T05:00:00Z,74.239,"0,0"
24,2017-01-25T05:00:00Z,74.374,"0,0"
25,2017-01-26T05:00:00Z,74.409,"0,0"
26,2017-01-27T05:00:00Z,74.541,"0,0"
27,2017-01-28T05:00:00Z,74.53,"0,0"
28,2017-01-29T05:00:00Z,74.539,"0,0"
29,2017-01-30T05:00:00Z,74.469,"0,0"
30,2017-01-31T05:00:00Z,74.41,"0,0"
31,2017-02-01T05:00:00Z,74.462,"0,0"
32,2017-02-02T05:00:00Z,74.513,"0,0"
33,2017-02-03T05:00:00Z,74.54,"0,0"
34,2017-02-04T05:00:00Z,74.545,"0,0"
35,2017-02-05T05:00:00Z,74.548,"0,0"
36,2017-02-06T05:00:00Z,74.439,"0,0"
37,2017-02-07T05:00:00Z,74.303,"0,0"
38,2017-02-08T05:00:00Z,74.548,"0,0"
39,2017-02-09T05:00:00Z,74.456,"0,0"
40,2017-02-10T05:00:00Z,74.474,"0,0"
41,2017-02-11T05:00:00Z,74.47,"0,0"
42,2017-02-12T05:00:00Z,74.453,"0,0"
43,2017-02-13T05:00:00Z,74.515,"1,0"
44,2017-02-14T05:00:00Z,74.515,"0,0"
45,2017-02-15T05:00:00Z,74.533,"0,0"
46,2017-02-16T05:00:00Z,74.542,"0,0"
47,2017-02-17T05:00:00Z,74.517,"0,0"
